subject,slice,mean_fg_dice,WT_dice,TC_dice,ET_dice
BraTS-GLI-00033-100,99,0.9375000005208334,0.7500000020833333,1.0,1.0
BraTS-GLI-00033-100,100,0.9093406603369159,0.6373626413476633,1.0,1.0
BraTS-GLI-00033-100,101,0.8750000034722222,0.5000000138888886,1.0,1.0
BraTS-GLI-00033-100,102,0.7500000104166662,4.166666493055563e-08,1.0,1.0
BraTS-GLI-00033-101,45,0.7500000227272706,9.090908264462886e-08,9.090908264462886e-08,9.090908264462886e-08
BraTS-GLI-00033-101,46,0.9682608696204159,0.8730434784816635,0.8730434784816635,0.8730434784816635
BraTS-GLI-00033-101,47,0.9850649350778659,0.9402597403114634,0.9402597403114634,0.9402597403114634
BraTS-GLI-00033-101,48,0.9899117276230065,0.9596469104920259,0.9596469104920259,0.9596469104920259
BraTS-GLI-00033-101,49,0.9923312883474789,0.9693251533899155,0.9693251533899155,0.9693251533899155
BraTS-GLI-00033-101,50,0.9943857331596716,0.9775429326386865,0.9775429326386865,0.9775429326386865
BraTS-GLI-00033-101,51,0.9942344045390418,0.9769376181561672,0.9769376181561672,0.9769376181561672
BraTS-GLI-00033-101,52,0.9952893674309256,0.9811574697237021,0.9811574697237021,0.9811574697237021
BraTS-GLI-00033-101,53,0.9949288525598157,0.9797154102392627,0.9797154102392627,0.9797154102392627
BraTS-GLI-00033-101,54,0.9947227694920566,0.9788910779682265,0.9788910779682265,0.9788910779682265
BraTS-GLI-00033-101,55,0.9935762978517104,0.9743051914068418,0.9743051914068418,0.9743051914068418
BraTS-GLI-00033-101,56,0.9942832554722687,0.9771330218890747,0.9771330218890747,0.9771330218890747
BraTS-GLI-00033-101,57,0.9954944547145346,0.9819778188581382,0.9819778188581382,0.9819778188581382
BraTS-GLI-00033-101,58,0.9953281182104894,0.9813124728419573,0.9813124728419573,0.9813124728419573
BraTS-GLI-00033-101,59,0.994749596123839,0.9789983844953557,0.9789983844953557,0.9789983844953557
BraTS-GLI-00033-101,60,0.9953009303217579,0.9812037212870318,0.9812037212870318,0.9812037212870318
BraTS-GLI-00033-101,61,0.7442175724832758,0.9716031631970519,0.9768702565997704,0.9768702565997704
BraTS-GLI-00033-101,62,0.9621321973167848,0.9763648468747729,0.9789635710656809,0.9789635710656809
BraTS-GLI-00033-101,63,0.9562871933591697,0.9416909621076253,0.9437928408311055,0.9437928408311055
BraTS-GLI-00033-101,64,0.9779752865041567,0.9774728120174168,0.9782728272857161,0.9782728272857161
BraTS-GLI-00033-101,65,0.9643107617614481,0.9753898635507566,0.9810877787946931,0.9810877787946931
BraTS-GLI-00033-101,66,0.960687283613995,0.9716402361417247,0.9803377867430882,0.9803377867430882
BraTS-GLI-00033-101,67,0.9534620028510183,0.9672767609575955,0.9822690638583671,0.9822690638583671
BraTS-GLI-00033-101,68,0.9515243671544715,0.9593389867406676,0.975772558717457,0.975772558717457
BraTS-GLI-00033-101,69,0.9502213920355393,0.9531250000050165,0.971357409717141,0.971357409717141
BraTS-GLI-00033-101,70,0.9584071387281309,0.956821026287357,0.9726199447409419,0.9726199447409419
BraTS-GLI-00033-101,71,0.9433666392305875,0.9452653486009089,0.9764060706572624,0.9764060706572624
BraTS-GLI-00033-101,72,0.9528208555168535,0.9559721478354609,0.9803414381815388,0.9803414381815388
BraTS-GLI-00033-101,73,0.9401174097922742,0.9459636841012947,0.9767747014857926,0.9767747014857926
BraTS-GLI-00033-101,74,0.9432105871274687,0.9462887393905053,0.9723372978788805,0.9723372978788805
BraTS-GLI-00033-101,75,0.9500551729265202,0.9512998070210807,0.9744302390252321,0.9744302390252321
BraTS-GLI-00033-101,76,0.9544726661186793,0.9513099930499292,0.9711114273557547,0.9711114273557547
BraTS-GLI-00033-101,77,0.966843959498593,0.9611718205113727,0.9723354688450297,0.9723354688450297
BraTS-GLI-00033-101,78,0.962512387939285,0.9530106257434462,0.9675373697769082,0.9675373697769082
BraTS-GLI-00033-101,79,0.9513581591045968,0.9342072094864876,0.9573381650539716,0.9573381650539716
BraTS-GLI-00033-101,80,0.9523531344899357,0.9418496340729409,0.9713381396217095,0.9713381396217095
BraTS-GLI-00033-101,81,0.9647942499974138,0.9586056644936539,0.9795005590794819,0.9795005590794819
